round,kind,value,raw
54015201,partupdabs,3FXLX4X6WP3NVGOXXZDIFKO6HSPV25EV6AZ6H2T66WUID3PIH4AAXH5IXE,
54015201,partupdabs,37VYKYGR2EI2JM5ZQSPGPYYII3T7EKZQTJ5AOSMB4WYNOIZ5JIEFJLW7UU,
54015201,partupdabs,3FD2ZTHUCIUWBPKIXOUO7VSHRVQTXX6KOWO2WPN7UOG4XKS2H7D5LJPTQA,
54015201,partupdabs,3Y3XPZYV2SV2OVYLTIGRWEOO7SC5VZ5KDLTDH7ELUYK6NCZGXGIBDUZI5U,
54015201,partupdabs,3FD3N25CD73PBJPK6VE7E7UAOUCSTMZ2QOOYNAT3UFPUXNTFFLW77DTUUM,
54015201,partupdabs,3CBUQD3ONPUSAG2F6HYFCLT62YPCQVTJFSJLFRORWEFSZKPE4H6IRYHL54,
54015201,partupdabs,3NEGW2XJCVS5SEDBQQC5I5XQT2PQ3QDGY4NE7KH6KG4UQKFPYXNSN5GZNI,
54015201,partupdabs,3VU7NGXV5NHIPIDP2JV6WJ3VNF5HMIVFPUCTMEC4OVZMFQ56O6KTRXC6AY,
54015201,partupdabs,3WSZ6ESXFUHDUMECNEI5YML6UGJ35ACVZTOA5JNFXSFSWSUHB5DXCAUTFA,
54015210,partupdabs,XI2QNXNDR6V2IEYX4T7FLSR5YDUM2UGOF2J25IG343KWKSODL7YGDNH5YM,
54016201,partupdabs,IADC6QEEQHJBPRJCKVUBCI3WJANADUTYBIAHPK3WE75QN3HSKME3S5XAPY,
54016201,partupdabs,ISG5AYO435XKD5Z7H473V76X45HUC5M2PWE6GV6ZWFTJIQS2NHEQB5KMDE,
54016201,partupdabs,IDYCIB4KXF77VJZ2ED4YZODZNAUSTI7OQBDDVHXXISYYGH2222K3MODTS4,
54016201,partupdabs,IZWR5CTY5F74LISGPAIHOVMO3UDJ7TLMS27XWDHWVAQF666ID6BM3DVMXU,
54016201,partupdabs,IGCHC6CZHLZCANQV5JA5VQZO2BP734O662JL57IC5ITQNUU5MIKKLBO4VA,
54016201,partupdabs,IUYMCTHSMBRT62FMNHW2CPYRYGGTXGIZV6ZEQQ4AZI62UYB6TFAPM3VYGI,
54016201,partupdabs,I55RNI6U5IBCYLHIYXN2ZGHQ3AZDOPU5B27DFNHWUX5CGJVVRUOIYQSG3E,
54016201,partupdabs,IFQBI6ZMGHL7TUAHD6AQ5RL2CQOTIWST7Q4YY52LAAX7LZHUFFQHELGTGU,
